
Processing CalculateEfficincy.C...
Particle        :   Eff1  /   Eff2  /   Eff3  /  Ghost  / BackGr  / N Ghost / N BackGr / N Reco  / N Clone  |  N MC1  |  N MC2  |  N MC3 
rho_mm    Prim  :  0.341  / -1.000  /  0.443  /  0.000  /  0.000  /      0  /       0  /    258  /       0  |    756  |      0  |    582
rho_mm    Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
gamma           :  0.065  / -1.000  /  0.574  /  0.004  /  0.855  /      4  /     776  /    128  /       0  |   1969  |      0  |    223
gamma     Prim  :  0.194  / -1.000  /  0.520  /  0.000  /  0.000  /      0  /       0  /     13  /       0  |     67  |      0  |     25
gamma     Sec   :  0.060  / -1.000  /  0.581  /  0.000  /  0.000  /      0  /       0  /    115  /       0  |   1902  |      0  |    198
Pi0             :  0.000  / -1.000  / -1.000  /  1.000  /  0.000  /      1  /       0  /      0  /       0  |     38  |      0  |      0
Pi0       Prim  :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      3  |      0  |      0
Pi0       Sec   :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |     35  |      0  |      0
eta             : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
eta       Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
eta       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
JPsi_ee         :  0.451  / -1.000  /  0.569  /  0.000  /  0.007  /      0  /       2  /    292  /       0  |    647  |      0  |    513
JPsi_ee   Prim  :  0.451  / -1.000  /  0.569  /  0.000  /  0.000  /      0  /       0  /    292  /       0  |    647  |      0  |    513
JPsi_ee   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
JPsi_mm         :  0.559  / -1.000  /  0.702  /  0.000  /  0.006  /      0  /       2  /    355  /       0  |    635  |      0  |    506
JPsi_mm   Prim  :  0.559  / -1.000  /  0.702  /  0.000  /  0.000  /      0  /       0  /    355  /       0  |    635  |      0  |    506
